Company Size,Sector,Rating,IT HR Spending (USD),Software Licenses (USD),Cloud Services (USD),Hardware Costs (USD),Telco Costs (USD),Total IT Spending,Total Revenue,IT Spending as % of Revenue
Small,Renewable Energy,Normal,35150.83994,102822.8329,92239.30658,26887.7118,15431.67876,62938.59143,557318.7376,11.4318518
Medium,Renewable Energy,Normal,69194.31483,147734.1912,164631.7234,67884.38644,77199.36731,519741.7642,4490985.011,10.02227547
Medium,E-Mobility,Normal,108326.0331,110670.9867,97725.2863,101305.7288,39412.47252,256879.8588,2385566.182,11.39311011
Small,Circular Economy,Low,62818.19109,73609.37597,132364.9596,94219.92906,20641.52955,67697.92859,2569754.67,2.964941391
Small,Circular Economy,High,110146.1686,103972.3503,132857.413,80970.2071,37582.11502,847549.7597,2798621.381,30.02581368
Medium,Renewable Energy,Normal,19831.09039,25795.71966,23661.68161,19339.24077,6648.310344,50964.04986,383011.904,15.58269877
Small,Circular Economy,Normal,58569.22046,77290.27496,84929.11869,61669.11504,20879.25842,134545.0584,1517730.609,8.643166024
Medium,Renewable Energy,Low,19604.45838,24734.34868,31981.74983,20667.01953,13782.80565,25881.18154,485181.9339,5.338363412
Large,E-Mobility,Low,78916.99485,63002.36375,110718.0623,43491.48338,21047.29901,130185.5285,3446638.61,4.269314333
Small,E-Mobility,High,80698.36575,134043.1295,128098.1479,99925.34938,68089.97853,710621.461,3916721.52,19.29930329
Medium,Circular Economy,Low,109901.0901,137194.4847,124795.4652,71203.07272,44650.4668,72007.72499,4012816.592,2.029137898
Small,E-Mobility,High,90726.91816,168736.8064,218587.3872,151370.5046,52399.12331,1249502.076,5217796.634,24.0386221
Small,Renewable Energy,Low,137012.7821,163349.2041,130108.2905,86424.29942,40486.75264,295179.5809,4353458.417,7.305485979
Large,E-Mobility,Normal,60920.59382,157715.2653,123390.3023,55537.97351,78758.69309,335397.1457,4267223.848,8.292832381
Small,Renewable Energy,High,44252.19771,67219.55486,136518.4611,58069.60031,34298.8658,218128.3422,862226.4454,25.59821389
Small,Circular Economy,Normal,93330.17643,163955.5309,194960.0918,107651.2807,131606.5365,821254.7463,6050123.773,13.26313522
Small,Renewable Energy,High,24933.00081,60061.86823,81617.08565,34818.47603,31313.62239,298677.0993,1264551.753,28.94911012
Medium,Circular Economy,Low,95182.40588,151264.5219,150450.4101,79008.99511,66139.77888,82102.70428,4830941.966,1.914606709
Medium,Circular Economy,High,134427.5571,96188.23846,122719.8628,116949.9647,63307.75798,774054.1712,4147547.203,19.16141467
Medium,Renewable Energy,Normal,139948.6242,152007.8763,125295.4889,116732.8602,48453.63877,347204.004,3783251.657,9.024839659
Large,Circular Economy,High,34126.08841,40932.79538,40939.31351,21292.48289,11344.35655,395892.4096,1499203.537,29.76575615
Medium,Circular Economy,Low,124719.9837,127624.9631,267114.9003,115832.9394,52238.46206,139697.374,2198196.351,6.431077705
Small,E-Mobility,Normal,121930.3014,135251.0999,216899.3315,68996.83206,76979.94609,615655.0289,5745203.3,11.66593274
Medium,E-Mobility,High,58487.89539,176948.8465,106694.8605,87575.03365,45873.53911,504109.4213,2602150.362,21.03427078
Small,Renewable Energy,High,129028.681,134281.6487,167412.3277,131353.7214,87498.69703,1173250.607,4263911.074,25.36485732
Medium,Renewable Energy,Normal,38634.08784,86384.34015,110386.4824,41222.34876,34478.5115,110059.5871,1103745.366,11.21970815
Small,Circular Economy,Normal,57922.05429,87274.52225,92423.26715,60978.10871,20744.81981,126249.3356,1639243.832,9.139712739
Large,E-Mobility,High,108879.5799,94752.26953,122886.4197,127934.4022,69131.16692,304999.9282,1245126.227,21.70364664
Small,Circular Economy,Low,105249.2949,260533.223,230266.8384,127522.3858,75445.85348,130982.3367,4364372.445,2.82645879
Small,Renewable Energy,Low,80378.35621,161265.4622,143835.1664,92020.19101,81504.81951,338828.625,5117864.421,6.096751398
Small,Renewable Energy,High,-16992.90501,-33350.22668,-33592.05908,-18349.60618,-9377.569469,-142835.2253,-690154.9332,18.63589401
Medium,E-Mobility,Normal,16572.76778,35848.91699,47001.04882,19190.88593,15596.43144,74811.02016,696034.2718,9.734061125
Small,Circular Economy,High,126834.3466,110588.2684,127957.7835,46462.19039,36408.43144,1040564.59,3560458.972,29.72633013
Small,E-Mobility,Low,101398.0734,70768.26408,126330.1006,78293.04281,17759.8375,50263.71187,671783.8128,6.656186505
Small,Renewable Energy,Low,59285.94987,74148.27799,76249.54298,42196.07921,19089.86843,8521.41728,484006.6842,2.160535596
Medium,Renewable Energy,Low,52042.67599,112224.643,80613.57787,66155.85598,40499.87674,51474.56055,2770137.494,2.122393634
Medium,E-Mobility,Low,131802.2084,128486.1662,121905.8627,138139.7869,37415.72951,25875.58543,1168038.524,1.842858
Medium,E-Mobility,Normal,83093.75941,83461.28601,142938.4898,95901.47852,35341.18903,257516.578,2701788.971,8.580432941
Large,Circular Economy,Normal,153851.079,163166.8324,166690.5772,69379.41744,70398.41715,325880.5964,3513901.411,7.97140024
Medium,E-Mobility,Normal,169750.5793,223770.6444,201987.7004,134161.5681,47080.49705,569722.8,3937981.711,14.41305648
Small,Circular Economy,High,33964.42364,81463.26375,62298.16073,39930.23281,39130.55653,446813.6667,1601627.59,30.11126329
Small,Renewable Energy,High,122541.0623,212312.2684,173662.8954,102105.1465,77631.15936,732067.5047,3823922.361,21.54471556
