IT Systems Type,Cloud Usage,Cybersecurity Measures,Data Management Systems,Network Infrastructure,Digital Transformation Readiness,Rating
Modern,Full,Advanced,Basic,Advanced,Medium,Developing
Mixed,Full,Basic,None,Advanced,High,Developing
Modern,Full,Basic,Basic,Basic,Medium,Developing
Modern,None,Basic,None,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Mixed,Full,Basic,None,Advanced,High,Developing
Mixed,Partial,Basic,None,Advanced,Low,Developing
Modern,Full,Basic,Basic,Basic,Medium,Basic
Legacy,Full,Basic,Basic,Advanced,Medium,Developing
Mixed,Partial,Basic,Basic,Advanced,Medium,Developing
Mixed,None,Basic,None,Basic,Low,Developing
Mixed,Partial,Basic,Basic,Advanced,Medium,Developing
Legacy,Partial,Advanced,Advanced,Basic,Low,Developing
Mixed,Full,Advanced,Basic,Advanced,High,Developing
Mixed,Full,Advanced,Basic,Basic,High,Developing
Legacy,Partial,Advanced,Advanced,Basic,Medium,Developing
Mixed,None,Advanced,Basic,Advanced,Low,Developing
Legacy,Full,Advanced,Basic,Basic,High,Developing
Legacy,Full,Advanced,Basic,Basic,Medium,Developing
Modern,Partial,Advanced,Basic,Basic,Medium,Developing
Mixed,Full,Basic,None,Basic,Medium,Developing
Modern,Partial,Basic,None,Basic,Medium,Developing
Modern,Partial,Basic,None,Basic,Low,Developing
Modern,None,Basic,Basic,Basic,Low,Basic
Mixed,Full,Basic,Advanced,Basic,Medium,Developing
Modern,None,Advanced,Advanced,Advanced,Medium,Advanced
Modern,None,Basic,Basic,Basic,Medium,Basic
Mixed,Partial,Basic,Basic,Basic,Medium,Basic
Modern,Full,Basic,None,Advanced,High,Developing
Modern,None,Basic,None,Advanced,Medium,Developing
Mixed,None,Basic,None,Basic,Medium,Developing
Modern,Full,Advanced,Basic,Advanced,High,Developing
Legacy,Partial,Advanced,Advanced,Advanced,Low,Advanced
Legacy,Full,Basic,Advanced,Advanced,High,Developing
Modern,None,Basic,None,Advanced,Medium,Developing
Legacy,None,Basic,Basic,Basic,Medium,Basic
Mixed,Partial,Advanced,Basic,Basic,Low,Developing
Modern,Full,Basic,Basic,Basic,Low,Basic
Legacy,Full,Basic,Basic,Basic,Medium,Basic
Modern,Full,Advanced,Basic,Basic,Medium,Developing
Modern,None,Advanced,Advanced,Advanced,Low,Developing
Modern,Full,Advanced,Advanced,Advanced,Low,Developing
Modern,Partial,Advanced,Advanced,Advanced,Medium,Developing
Mixed,Full,Advanced,Advanced,Advanced,Low,Developing
Modern,Partial,Advanced,Advanced,Advanced,Low,Developing
Modern,None,Advanced,Advanced,Advanced,Low,Developing
Mixed,Full,Advanced,Advanced,Advanced,High,Developing
Mixed,None,Advanced,Advanced,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,Low,Developing
Modern,Partial,Basic,Basic,Basic,Medium,Basic
Mixed,None,Advanced,Advanced,Advanced,Medium,Developing
Modern,Full,Basic,Basic,Basic,Low,Basic
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,Medium,Advanced
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
Modern,Full,Advanced,Advanced,Advanced,High,Advanced
Mixed,Full,Advanced,Advanced,Advanced,Medium,Advanced
Mixed,None,Advanced,Advanced,Advanced,Low,Developing
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Developing
Modern,None,Advanced,Advanced,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,Medium,Developing
Modern,None,Advanced,Advanced,Advanced,Medium,Developing
Mixed,Partial,Advanced,Advanced,Advanced,High,Basic
Legacy,None,Advanced,Advanced,Advanced,Low,Developing
Mixed,Full,Advanced,Advanced,Advanced,Low,Developing
Modern,None,Advanced,Advanced,Advanced,Low,Developing
Modern,Full,Advanced,Advanced,Advanced,Low,Developing
Legacy,Partial,Advanced,Advanced,Advanced,High,Developing
Legacy,None,Advanced,Advanced,Advanced,Medium,Advanced
Modern,Partial,Advanced,Advanced,Advanced,High,Basic
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
Mixed,None,Advanced,Advanced,Advanced,Medium,Developing
Modern,Partial,Advanced,Advanced,Advanced,High,Developing
Mixed,Partial,Advanced,Advanced,Advanced,Medium,Developing
Modern,Full,Advanced,Advanced,Advanced,Medium,Developing
